sentiment,content
1,babypatches good day lot stretch sleep sun
1,philritchie boom boom saw movie last night really enjoy
1,jaezors day may party sit come gays
1,finish record improvisation second instrument latest podcast happy nearly mix time
0,feel well feel like could throw throat hurt really bad sad day
1,ragazza_matta take quot well know quot quiz make one day one take yet put pics yday
1,listen house music else get gig san francisco next friday detail
0,mannyishere awww hes cute wish could go
1,join twitter hiya world
0,say still dream nikon errr eat kuya please lang huhuh
1,wow virtualpc screen black anymore win also nvidia driver crash happy upgrade
1,mfrancella yet even get play year soon hope
1,wanna dbsk oppa mirotic concert thailand really wanna muchhhhh burst tear
1,sarahnd nearly month excite
1,jadeyyg whens little gingg get twitter
1,gooodmorning people earth
0,leave soon might cry
1,get back grandparents suprise anniversary party sooooo much fun
0,akdb tell
1,sooo please sun shin today garden come
1,home home last time step outside life
1,petty happy birthday cheer pao
1,daftlikejack seem totally awesome know two real reason celebrate
0,watch home wish could get chicken shish deliver enough pennies
0,rosellyanna forget word start cry stop sing carry cry stop
1,cheergod yeah tell
1,walkaboutgroup fun guy days behind
0,imjustlalayone damn girl gotta let know get kit together amp get flyer next weekend quot
0,never starbucks coffee entire life people keep make jealous
1,oohnoo great weee visitors
1,feel better something tummy
1,nora_ elaine online mommy give good advice
1,think would good radio like awesome music great personality
0,day beasted
0,leischen show always come money least rotten law average
1,jaisey aloha jaisey excite supernatural back tonight jensen fest tonite
1,curious case benjamin button excite fuck movie
1,friendster add email adress add add leave comment
0,ugh know even care nicole richie miss last nite despite twitter jennortigoza
0,mig say last day job today wont say around anymore
0,social saw awwww
1,give bike thorough wash degrease grease think really good job
1,cousin leon bear today
1,aww sunny day tasty barbeque family get bad sunburn though
1,least get watch time let pen
0,tom_pollard never ban court order
0,chacity followers wanna cool follow never happen
1,breporter thank much follow muse much gratitude wish magnificent amp productive start day
0,macedonia rainy days row
0,split headache
0,browsin thru videos multiply saw video sing miss miss pls come back wherever
0,god favorite havaianas break three years service miss mold perfectly feet
1,clockworkmelt lol feel like drink right
0,jonathanrknight still direct message hell complain answer ask
1,wow coffee hand already outside peaceful sunday mornings
0,killer headache want food
1,alkaline trio sweet save day suck great time anyways awesome see everybody hangin
0,need haters ball today like dave chappelle man miss days comedy central new episodes
1,chemicalbullets thats sweet
0,theclairemarie study fail come make tortellini chicken chicken salad
0,tbake crap always forget
0,keep receive beautiful pics beach charleymagne office work get bitter
1,afiaa_afaya the_handsome_blue_beast hhihihuahauu
0,get text guy like name guy disapointing
1,print mom amazon gift card happy mother day talk last minute
1,wish see clip show host hottie shawn yes still hottie
1,emilyyoung havin fun btw isnt bowl
1,twlux_e thank follow nice meet
0,bah still work lol feet hurt nose win stop run
1,carolecross thank know
0,strange day forget
0,arm hurt
1,fantastic full weekend go finish high cheeky chilli thai fry rice amp glass red
0,nova_caine saw make sad
0,sad face moment day
1,get paycheck april bonus deposit day rest gotta wait til mon
1,listen band recommend sarrah really like friday night boys
0,juenese totally felt bad guy haha good miss guy
1,tracysummers please hun
0,take foreverrr jess_ get bore
1,jackalltimelow fun anyway thank take pics last minute
1,andrew theme tune robin batman
0,home marble fall back reality
0,emmaroo innerchild sarah like cookies sad feel sad guilty
1,leoncen hehehehe want torrent
0,early
0,ugh hard upload picture twitter
1,new phrase never doubt williams six game win streak
0,freyalynn lol seriously fail sigh
0,emulley miss today know must feel tire give massage tonight
0,despinacook least firmware upgrade buy time get tax return really
1,barrymanilow barry lol tweet deck like prehistoric lol
0,upset friday night cry
1,hannahsukter anywayss point die spend summer somewhere hot guy
0,kev_watson sorry address wrong put samuel address sam stupid brain day today
0,tear get extend warranty iphone mine run jailbreak already get problems battery amp earpiece
0,havnt get months seem date spark anymore still love loser leave
1,sabrina yes cant wait hope vip pass help since people already campin hahah
1,jadeeisabel nah mine brydielonie ones without finger
0,aaronhoskins fuck miss band much
1,gotta church ten camera meet finally lol
1,hahaha yeah see twitter back
1,montiasutton wish could really love around ill see try use national champ pull lol
1,cryswinchester hahaah cry blow fuse typical move
1,happy star war day may
1,wish blacksocialite happy mother day
1,woo nachos ice cream haha
1,walmart play hide seek
1,wanna better already
0,arm hurt
1,yinawu happy mother day friends make video
0,nothing could get worse could think verge kill someone else things good anymore
1,eric_andersen thank eric glad appreciate
1,finalscoreb nice
0,tire go take nap finger hurt
1,bite soul time mama visialize next live environent speak soon
0,shebababy rebroadcast last weeks pacquiao hatton fight plan night around say much already
0,make want cry grow men discuss character children
0,painful sound world cry someone love worse even hold say sorry
0,lanceschmidt yeah kinda bum tell gonna miss love class guy make student teach fun
0,hithit miss jmichelle tell treat like step child smh
1,shannongrissom grannypig followfriday thank still even close gottalaff
0,wait bus back cripple creek pick twizzler town seem kinda quiet tonite rolynn
1,yay firday good one everyone way work lot work pending
0,still freakin miss game jonasnewsongs
